date,open,high,low,close,volume,dividends,split_ratio
2017-11-23 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,400,0,0
2017-11-24 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,2900,0,0
2017-11-27 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.2599999904632568,1.2599999904632568,4100,0,0
2017-11-28 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.2000000476837158,1.25,35200,0,0
2017-11-29 00:00:00+00:00,1.2599999904632568,1.2799999713897705,1.2200000286102295,1.2200000286102295,8900,0,0
2017-11-30 00:00:00+00:00,1.25,1.2599999904632568,1.2100000381469727,1.25,27700,0,0
2017-12-01 00:00:00+00:00,1.2599999904632568,1.2899999618530273,1.2599999904632568,1.2899999618530273,10800,0,0
2017-12-04 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.25,1.25,7500,0,0
2017-12-05 00:00:00+00:00,1.2599999904632568,1.2599999904632568,1.25,1.25,51200,0,0
2017-12-06 00:00:00+00:00,1.25,1.25,1.2000000476837158,1.2400000095367432,15800,0,0
2017-12-07 00:00:00+00:00,1.2599999904632568,1.2699999809265137,1.25,1.25,47800,0,0
2017-12-08 00:00:00+00:00,1.25,1.25,1.2000000476837158,1.2000000476837158,70500,0,0
2017-12-11 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.0399999618530273,1.100000023841858,34400,0,0
2017-12-12 00:00:00+00:00,1.1200000047683716,1.25,1.1200000047683716,1.1799999475479126,161000,0,0
2017-12-13 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.149999976158142,1.2000000476837158,109400,0,0
2017-12-14 00:00:00+00:00,1.2200000286102295,1.2599999904632568,1.2000000476837158,1.2400000095367432,89100,0,0
2017-12-15 00:00:00+00:00,1.25,1.2599999904632568,1.2100000381469727,1.2100000381469727,87000,0,0
2017-12-18 00:00:00+00:00,1.1699999570846558,1.2000000476837158,1.1100000143051147,1.1299999952316284,33400,0,0
2017-12-19 00:00:00+00:00,1.1299999952316284,1.1399999856948853,1.1200000047683716,1.1299999952316284,22300,0,0
2017-12-20 00:00:00+00:00,1.1200000047683716,1.2400000095367432,1.0399999618530273,1.1299999952316284,98100,0,0
2017-12-21 00:00:00+00:00,1.1200000047683716,1.1200000047683716,0.9200000166893005,1.100000023841858,176400,0,0
2017-12-22 00:00:00+00:00,1.100000023841858,1.1399999856948853,1.0499999523162842,1.1399999856948853,30300,0,0
2017-12-27 00:00:00+00:00,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853,0,0,0
2017-12-28 00:00:00+00:00,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853,0,0,0
2017-12-29 00:00:00+00:00,1.1799999475479126,1.2200000286102295,1.149999976158142,1.2200000286102295,18700,0,0
2018-01-02 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.2699999809265137,1.2799999713897705,18000,0,0
2018-01-03 00:00:00+00:00,1.309999942779541,1.309999942779541,1.2400000095367432,1.25,76200,0,0
2018-01-04 00:00:00+00:00,1.309999942779541,1.309999942779541,1.2200000286102295,1.2300000190734863,47200,0,0
2018-01-05 00:00:00+00:00,1.2100000381469727,1.2200000286102295,1.2000000476837158,1.2100000381469727,43200,0,0
2018-01-08 00:00:00+00:00,1.2100000381469727,1.2599999904632568,1.2100000381469727,1.2599999904632568,29800,0,0
2018-01-09 00:00:00+00:00,1.2999999523162842,1.3600000143051147,1.2699999809265137,1.2699999809265137,132400,0,0
2018-01-10 00:00:00+00:00,1.2999999523162842,1.350000023841858,1.2999999523162842,1.350000023841858,354600,0,0
2018-01-11 00:00:00+00:00,1.350000023841858,1.3799999952316284,1.350000023841858,1.350000023841858,41300,0,0
2018-01-12 00:00:00+00:00,1.3799999952316284,1.3799999952316284,1.2699999809265137,1.2999999523162842,23500,0,0
2018-01-15 00:00:00+00:00,1.350000023841858,1.350000023841858,1.2999999523162842,1.2999999523162842,92100,0,0
2018-01-16 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.2899999618530273,1.2899999618530273,45200,0,0
2018-01-17 00:00:00+00:00,1.2999999523162842,1.350000023841858,1.2899999618530273,1.350000023841858,89700,0,0
2018-01-18 00:00:00+00:00,1.340000033378601,1.4500000476837158,1.340000033378601,1.4500000476837158,101100,0,0
2018-01-19 00:00:00+00:00,1.4500000476837158,1.649999976158142,1.399999976158142,1.590000033378601,71400,0,0
2018-01-22 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.3899999856948853,1.409999966621399,56500,0,0
2018-01-23 00:00:00+00:00,1.4600000381469727,1.5299999713897705,1.4600000381469727,1.4600000381469727,240300,0,0
2018-01-24 00:00:00+00:00,1.4800000190734863,1.5399999618530273,1.4800000190734863,1.5,140900,0,0
2018-01-25 00:00:00+00:00,1.5,1.5399999618530273,1.4900000095367432,1.5,364000,0,0
2018-01-26 00:00:00+00:00,1.5299999713897705,1.5299999713897705,1.3600000143051147,1.5,714500,0,0
2018-01-29 00:00:00+00:00,1.5199999809265137,1.5700000524520874,1.5,1.5700000524520874,127500,0,0
2018-01-30 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.4900000095367432,1.5,66800,0,0
2018-01-31 00:00:00+00:00,1.5,1.5499999523162842,1.4700000286102295,1.5199999809265137,54900,0,0
2018-02-01 00:00:00+00:00,1.5,1.5,1.4600000381469727,1.4700000286102295,209400,0,0
2018-02-02 00:00:00+00:00,1.4299999475479126,1.4299999475479126,1.350000023841858,1.350000023841858,18700,0,0
2018-02-05 00:00:00+00:00,1.3600000143051147,1.3600000143051147,1.2799999713897705,1.3300000429153442,62100,0,0
2018-02-06 00:00:00+00:00,1.2999999523162842,1.3300000429153442,1.2899999618530273,1.2999999523162842,88400,0,0
2018-02-07 00:00:00+00:00,1.309999942779541,1.309999942779541,1.2699999809265137,1.2699999809265137,68100,0,0
2018-02-08 00:00:00+00:00,1.2799999713897705,1.2799999713897705,1.2699999809265137,1.2699999809265137,26300,0,0
2018-02-09 00:00:00+00:00,1.2599999904632568,1.2699999809265137,1.2100000381469727,1.2100000381469727,230300,0,0
2018-02-12 00:00:00+00:00,1.2400000095367432,1.2400000095367432,1.1799999475479126,1.2300000190734863,96400,0,0
2018-02-13 00:00:00+00:00,1.2400000095367432,1.25,1.2100000381469727,1.2300000190734863,77400,0,0
2018-02-14 00:00:00+00:00,1.2300000190734863,1.2300000190734863,1.2000000476837158,1.2000000476837158,37600,0,0
2018-02-15 00:00:00+00:00,1.2100000381469727,1.2100000381469727,1.1799999475479126,1.1799999475479126,61900,0,0
2018-02-16 00:00:00+00:00,1.2000000476837158,1.5,1.190000057220459,1.4299999475479126,98100,0,0
2018-02-20 00:00:00+00:00,1.5,1.5,1.340000033378601,1.340000033378601,40100,0,0
2018-02-21 00:00:00+00:00,1.340000033378601,1.5,1.340000033378601,1.5,9600,0,0
2018-02-22 00:00:00+00:00,1.5,1.5,1.3799999952316284,1.409999966621399,26400,0,0
2018-02-23 00:00:00+00:00,1.3799999952316284,1.3799999952316284,1.2999999523162842,1.340000033378601,11800,0,0
2018-02-26 00:00:00+00:00,1.3600000143051147,1.4700000286102295,1.3600000143051147,1.4199999570846558,72900,0,0
2018-02-27 00:00:00+00:00,1.409999966621399,1.409999966621399,1.350000023841858,1.3799999952316284,16400,0,0
2018-02-28 00:00:00+00:00,1.350000023841858,1.4500000476837158,1.2999999523162842,1.4500000476837158,33200,0,0
2018-03-01 00:00:00+00:00,1.399999976158142,1.399999976158142,1.309999942779541,1.350000023841858,14800,0,0
2018-03-02 00:00:00+00:00,1.3700000047683716,1.399999976158142,1.3700000047683716,1.3700000047683716,13800,0,0
2018-03-05 00:00:00+00:00,1.3899999856948853,1.3899999856948853,1.3899999856948853,1.3899999856948853,200,0,0
2018-03-06 00:00:00+00:00,1.4199999570846558,1.4199999570846558,1.4199999570846558,1.4199999570846558,300,0,0
2018-03-07 00:00:00+00:00,1.3300000429153442,1.3300000429153442,1.25,1.2599999904632568,52700,0,0
2018-03-08 00:00:00+00:00,1.2999999523162842,1.340000033378601,1.2999999523162842,1.3200000524520874,4800,0,0
2018-03-09 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,500,0,0
2018-03-12 00:00:00+00:00,1.350000023841858,1.350000023841858,1.340000033378601,1.340000033378601,3900,0,0
2018-03-13 00:00:00+00:00,1.2899999618530273,1.3200000524520874,1.2899999618530273,1.2999999523162842,17800,0,0
2018-03-14 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.2899999618530273,1.2999999523162842,9600,0,0
2018-03-15 00:00:00+00:00,1.2999999523162842,1.309999942779541,1.2999999523162842,1.2999999523162842,6500,0,0
2018-03-16 00:00:00+00:00,1.309999942779541,1.3200000524520874,1.309999942779541,1.3200000524520874,2400,0,0
2018-03-19 00:00:00+00:00,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.3200000524520874,0,0,0
2018-03-20 00:00:00+00:00,1.309999942779541,1.350000023841858,1.309999942779541,1.350000023841858,16000,0,0
2018-03-21 00:00:00+00:00,1.309999942779541,1.3200000524520874,1.2899999618530273,1.3200000524520874,2800,0,0
2018-03-22 00:00:00+00:00,1.3200000524520874,1.350000023841858,1.2000000476837158,1.340000033378601,42800,0,0
2018-03-23 00:00:00+00:00,1.2999999523162842,1.4299999475479126,1.25,1.4299999475479126,53600,0,0
2018-03-26 00:00:00+00:00,1.399999976158142,1.4199999570846558,1.340000033378601,1.4199999570846558,8800,0,0
2018-03-27 00:00:00+00:00,1.3899999856948853,1.3899999856948853,1.3200000524520874,1.3200000524520874,18600,0,0
2018-03-28 00:00:00+00:00,1.3700000047683716,1.4299999475479126,1.3200000524520874,1.4299999475479126,11000,0,0
2018-03-29 00:00:00+00:00,1.399999976158142,1.399999976158142,1.3799999952316284,1.3799999952316284,400,0,0
2018-04-02 00:00:00+00:00,1.3799999952316284,1.3799999952316284,1.3799999952316284,1.3799999952316284,0,0,0
2018-04-03 00:00:00+00:00,1.3700000047683716,1.3700000047683716,1.350000023841858,1.350000023841858,2200,0,0
2018-04-04 00:00:00+00:00,1.2999999523162842,1.350000023841858,1.2899999618530273,1.350000023841858,900,0,0
2018-04-05 00:00:00+00:00,1.2999999523162842,1.3600000143051147,1.2899999618530273,1.350000023841858,5000,0,0
2018-04-06 00:00:00+00:00,1.350000023841858,1.350000023841858,1.350000023841858,1.350000023841858,0,0,0
2018-04-09 00:00:00+00:00,1.350000023841858,1.350000023841858,1.350000023841858,1.350000023841858,0,0,0
2018-04-10 00:00:00+00:00,1.3200000524520874,1.399999976158142,1.3200000524520874,1.3200000524520874,223100,0,0
2018-04-11 00:00:00+00:00,1.2999999523162842,1.3600000143051147,1.2999999523162842,1.350000023841858,50300,0,0
2018-04-12 00:00:00+00:00,1.3600000143051147,1.3600000143051147,1.350000023841858,1.350000023841858,48900,0,0
2018-04-13 00:00:00+00:00,1.350000023841858,1.350000023841858,1.2100000381469727,1.2999999523162842,32300,0,0
2018-04-16 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.1799999475479126,1.2000000476837158,159800,0,0
2018-04-17 00:00:00+00:00,1.2200000286102295,1.2899999618530273,1.2200000286102295,1.2799999713897705,40700,0,0
2018-04-18 00:00:00+00:00,1.2999999523162842,1.309999942779541,1.2999999523162842,1.309999942779541,1600,0,0
2018-04-19 00:00:00+00:00,1.2799999713897705,1.2899999618530273,1.25,1.2899999618530273,55800,0,0
2018-04-20 00:00:00+00:00,1.2599999904632568,1.2599999904632568,1.2400000095367432,1.2400000095367432,22800,0,0
2018-04-23 00:00:00+00:00,1.2400000095367432,1.25,1.2400000095367432,1.25,10800,0,0
2018-04-24 00:00:00+00:00,1.2100000381469727,1.2799999713897705,1.2000000476837158,1.2799999713897705,8200,0,0
2018-04-25 00:00:00+00:00,1.25,1.3200000524520874,1.2200000286102295,1.2400000095367432,46400,0,0
2018-04-26 00:00:00+00:00,1.2300000190734863,1.2699999809265137,1.2300000190734863,1.25,56000,0,0
2018-04-27 00:00:00+00:00,1.25,1.25,1.25,1.25,5500,0,0
2018-04-30 00:00:00+00:00,1.3200000524520874,1.5,1.2899999618530273,1.4500000476837158,200500,0,0
2018-05-01 00:00:00+00:00,1.4500000476837158,1.4500000476837158,1.2899999618530273,1.309999942779541,58200,0,0
2018-05-02 00:00:00+00:00,1.3300000429153442,1.3700000047683716,1.2999999523162842,1.2999999523162842,48500,0,0
2018-05-03 00:00:00+00:00,1.309999942779541,1.309999942779541,1.25,1.2999999523162842,132500,0,0
2018-05-04 00:00:00+00:00,1.2899999618530273,1.2899999618530273,1.2899999618530273,1.2899999618530273,400,0,0
2018-05-07 00:00:00+00:00,1.2999999523162842,1.340000033378601,1.25,1.2999999523162842,47000,0,0
2018-05-08 00:00:00+00:00,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0,0
2018-05-09 00:00:00+00:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,800,0,0
2018-05-10 00:00:00+00:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,0,0,0
2018-05-11 00:00:00+00:00,1.2999999523162842,1.3200000524520874,1.2799999713897705,1.2799999713897705,58500,0,0
2018-05-14 00:00:00+00:00,1.3200000524520874,1.3200000524520874,1.2799999713897705,1.2799999713897705,53200,0,0
2018-05-15 00:00:00+00:00,1.2599999904632568,1.2599999904632568,1.2599999904632568,1.2599999904632568,300,0,0
