symbol,sector,sector_id
RIFI.TO,unkown,7
RIGU.TO,unkown,7
RIIN.TO,unkown,7
RIRA.TO,unkown,7
RIT.TO,unkown,7
RIV.TO,Healthcare,5
RLB.TO,unkown,7
RNW.TO,Utilities,10
ROOT.TO,Consumer Cyclical,6
ROXG.TO,Basic Materials,3
RPD.TO,unkown,7
RPDH.TO,unkown,7
RPF.TO,unkown,7
RPSB.TO,unkown,7
RQI.TO,unkown,7
RQJ.TO,unkown,7
RQK.TO,unkown,7
RQL.TO,unkown,7
RQN.TO,unkown,7
RQO.TO,unkown,7
RQP.TO,unkown,7
RS.TO,Financial Services,0
RSI.TO,Consumer Defensive,8
RTG.TO,Basic Materials,3
RUBH.TO,unkown,7
RUBY.TO,unkown,7
RUD.TO,unkown,7
RUDH.TO,unkown,7
RUE.TO,unkown,7
RUEH.TO,unkown,7
RUS.TO,Industrials,4
RUSB.TO,unkown,7
RVX.TO,Healthcare,5
RWC.TO,unkown,7
RWE.TO,unkown,7
RWU.TO,unkown,7
RWW.TO,unkown,7
RWX.TO,unkown,7
RXD.TO,unkown,7
RXE.TO,unkown,7
