symbol,sector,sector_id
CALL.TO,unkown,7
CARS.TO,unkown,7
CAS.TO,Basic Materials,3
CBH.TO,unkown,7
CBND.TO,unkown,7
CBO.TO,unkown,7
CCA.TO,Communication Services,11
CCM.TO,Basic Materials,3
CCNS.TO,unkown,7
CCO.TO,Energy,1
CCOR.TO,unkown,7
CCRE.TO,unkown,7
CDAY.TO,Technology,2
CDIV.TO,unkown,7
CDLB.TO,unkown,7
CDZ.TO,unkown,7
CEE.TO,Basic Materials,3
CEF.TO,unkown,7
CERV.TO,Industrials,4
CET.TO,Energy,1
CEU.TO,Energy,1
CEW.TO,unkown,7
CF.TO,Financial Services,0
CFF.TO,Basic Materials,3
CFLX.TO,unkown,7
CFP.TO,Basic Materials,3
CFW.TO,Energy,1
CFX.TO,Basic Materials,3
CG.TO,Basic Materials,3
CGAA.TO,unkown,7
CGG.TO,Basic Materials,3
CGI.TO,unkown,7
CGL.TO,unkown,7
CGLO.TO,unkown,7
CGO.TO,Communication Services,11
CGR.TO,unkown,7
CGRA.TO,unkown,7
CGRE.TO,unkown,7
CGX.TO,Communication Services,11
CGXF.TO,unkown,7
CGY.TO,Industrials,4
CHB.TO,unkown,7
CHR.TO,Industrials,4
CHW.TO,Financial Services,0
CIA.TO,Basic Materials,3
CIC.TO,unkown,7
CIF.TO,unkown,7
CIGI.TO,Real Estate,9
CINF.TO,unkown,7
CINT.TO,unkown,7
CIX.TO,Financial Services,0
CJ.TO,Energy,1
CJT.TO,Industrials,4
CLF.TO,unkown,7
CLG.TO,unkown,7
CLIQ.TO,Consumer Cyclical,6
CLR.TO,unkown,7
CLS.TO,Technology,2
CM.TO,Financial Services,0
CMAG.TO,unkown,7
CMAR.TO,unkown,7
CMCE.TO,unkown,7
CMEY.TO,unkown,7
CMG.TO,Technology,2
CMGG.TO,unkown,7
CMMC.TO,Basic Materials,3
CMR.TO,unkown,7
CMUE.TO,unkown,7
CNE.TO,Energy,1
CNQ.TO,Energy,1
CNR.TO,Industrials,4
CNT.TO,Consumer Defensive,8
CNU.TO,Energy,1
COG.TO,Basic Materials,3
COMM.TO,unkown,7
CORP.TO,unkown,7
COW.TO,unkown,7
CP.TO,Industrials,4
CPD.TO,unkown,7
CPG.TO,Energy,1
CPH.TO,Healthcare,5
CPI.TO,Energy,1
CPLS.TO,unkown,7
CPX.TO,Utilities,10
CR.TO,Energy,1
CRDL.TO,Healthcare,5
CRED.TO,unkown,7
CRH.TO,Healthcare,5
CRON.TO,Healthcare,5
CRP.TO,Industrials,4
CRRX.TO,Healthcare,5
CRWN.TO,Financial Services,0
CS.TO,Basic Materials,3
CSAV.TO,unkown,7
CSD.TO,unkown,7
CSM.TO,Energy,1
CSU.TO,Technology,2
CSY.TO,unkown,7
CTC.TO,Consumer Cyclical,6
CTS.TO,Technology,2
CTX.TO,Healthcare,5
CU.TO,Utilities,10
CUD.TO,unkown,7
CVD.TO,unkown,7
CVE.TO,Energy,1
CVG.TO,Financial Services,0
CWB.TO,Financial Services,0
CWEB.TO,Healthcare,5
CWL.TO,Industrials,4
CWW.TO,unkown,7
CWX.TO,Basic Materials,3
CXB.TO,Basic Materials,3
CXF.TO,unkown,7
CXI.TO,Financial Services,0
CYB.TO,Financial Services,0
CYBR.TO,unkown,7
CYH.TO,unkown,7
DANC.TO,unkown,7
DATA.TO,unkown,7
DBO.TO,Technology,2
DCBO.TO,Technology,2
DCC.TO,unkown,7
DCG.TO,unkown,7
DCM.TO,Industrials,4
DCP.TO,unkown,7
DCS.TO,unkown,7
DCU.TO,unkown,7
DF.TO,Financial Services,0
DFC.TO,unkown,7
DFD.TO,unkown,7
DFE.TO,unkown,7
DFN.TO,Financial Services,0
DFU.TO,unkown,7
DGR.TO,unkown,7
DGRC.TO,unkown,7
DGS.TO,Financial Services,0
DIAM.TO,Basic Materials,3
DISC.TO,unkown,7
DIV.TO,Industrials,4
DIVS.TO,unkown,7
DLR.TO,unkown,7
DML.TO,Energy,1
DN.TO,Healthcare,5
DND.TO,Technology,2
DNG.TO,Basic Materials,3
DNT.TO,Basic Materials,3
DOL.TO,Consumer Defensive,8
DOO.TO,Consumer Cyclical,6
DPM.TO,Basic Materials,3
DQD.TO,unkown,7
DQI.TO,unkown,7
DR.TO,Healthcare,5
DRCU.TO,unkown,7
DRDR.TO,Healthcare,5
DRFC.TO,unkown,7
DRFD.TO,unkown,7
DRFE.TO,unkown,7
DRFG.TO,unkown,7
DRFU.TO,unkown,7
DRM.TO,Real Estate,9
DRMC.TO,unkown,7
DRMD.TO,unkown,7
DRMU.TO,unkown,7
DRT.TO,Industrials,4
DRX.TO,Industrials,4
DS.TO,Financial Services,0
DSG.TO,Technology,2
DXB.TO,unkown,7
DXC.TO,unkown,7
DXF.TO,unkown,7
DXG.TO,unkown,7
DXM.TO,unkown,7
DXN.TO,unkown,7
DXO.TO,unkown,7
DXP.TO,unkown,7
DXT.TO,Industrials,4
DXU.TO,unkown,7
DXV.TO,unkown,7
DXW.TO,unkown,7
DXZ.TO,unkown,7
DYA.TO,Industrials,4
E.TO,Industrials,4
EARN.TO,unkown,7
ECN.TO,Financial Services,0
ECO.TO,Basic Materials,3
EDGE.TO,unkown,7
EDGF.TO,unkown,7
EDR.TO,Basic Materials,3
EDT.TO,Healthcare,5
EDV.TO,Basic Materials,3
EFL.TO,Industrials,4
EFN.TO,Industrials,4
EFR.TO,Energy,1
EFX.TO,Energy,1
EGIF.TO,unkown,7
EGLX.TO,Communication Services,11
EHE.TO,unkown,7
EIF.TO,Industrials,4
ELD.TO,Basic Materials,3
ELEF.TO,Basic Materials,3
ELF.TO,Financial Services,0
ELR.TO,Basic Materials,3
ELV.TO,unkown,7
EMA.TO,Utilities,10
ENB.TO,Energy,1
ENGH.TO,Technology,2
ENS.TO,,12
EOX.TO,Basic Materials,3
EQB.TO,Financial Services,0
EQL.TO,unkown,7
EQX.TO,Basic Materials,3
ERD.TO,Basic Materials,3
ERF.TO,Energy,1
ERO.TO,Basic Materials,3
ESG.TO,unkown,7
ESGA.TO,unkown,7
ESGB.TO,unkown,7
ESGC.TO,unkown,7
ESGE.TO,unkown,7
ESGF.TO,unkown,7
ESGG.TO,unkown,7
ESGY.TO,unkown,7
ESI.TO,Energy,1
ESM.TO,Basic Materials,3
ESN.TO,Energy,1
ET.TO,Technology,2
ETG.TO,Basic Materials,3
ETHI.TO,unkown,7
ETP.TO,unkown,7
ETX.TO,Utilities,10
EUR.TO,unkown,7
EVT.TO,,12
EXE.TO,Healthcare,5
EXF.TO,Technology,2
EXN.TO,Basic Materials,3
FAF.TO,Healthcare,5
FAI.TO,unkown,7
FAO.TO,unkown,7
FAP.TO,Financial Services,0
FAR.TO,Basic Materials,3
FBE.TO,unkown,7
FBU.TO,unkown,7
FC.TO,Financial Services,0
FCCB.TO,unkown,7
FCCD.TO,unkown,7
FCCL.TO,unkown,7
FCCM.TO,unkown,7
FCCQ.TO,unkown,7
FCCV.TO,unkown,7
FCGB.TO,unkown,7
FCGI.TO,unkown,7
FCHH.TO,unkown,7
FCHY.TO,unkown,7
FCID.TO,unkown,7
FCIL.TO,unkown,7
FCIM.TO,unkown,7
FCIQ.TO,unkown,7
FCIV.TO,unkown,7
FCLH.TO,unkown,7
FCMH.TO,unkown,7
FCMI.TO,unkown,7
FCMO.TO,unkown,7
FCQH.TO,unkown,7
FCRH.TO,unkown,7
FCRR.TO,unkown,7
FCSB.TO,unkown,7
FCU.TO,Energy,1
FCUD.TO,unkown,7
FCUH.TO,unkown,7
FCUL.TO,unkown,7
FCUQ.TO,unkown,7
FCUV.TO,unkown,7
FCVH.TO,unkown,7
FDE.TO,unkown,7
FDV.TO,unkown,7
FEC.TO,Energy,1
FF.TO,Basic Materials,3
FFH.TO,Financial Services,0
FFN.TO,Financial Services,0
FGB.TO,unkown,7
FGGE.TO,unkown,7
FGO.TO,unkown,7
FHB.TO,unkown,7
FHC.TO,unkown,7
FHD.TO,unkown,7
FHE.TO,unkown,7
FHF.TO,unkown,7
FHG.TO,unkown,7
FHH.TO,unkown,7
FHI.TO,unkown,7
FHM.TO,unkown,7
FHQ.TO,unkown,7
FIE.TO,unkown,7
FIG.TO,unkown,7
FINO.TO,unkown,7
FINT.TO,unkown,7
FIRE.TO,Healthcare,5
FLAM.TO,unkown,7
FLB.TO,unkown,7
FLBA.TO,unkown,7
FLCD.TO,unkown,7
FLCI.TO,unkown,7
FLCP.TO,unkown,7
FLDM.TO,unkown,7
FLEM.TO,unkown,7
FLGA.TO,unkown,7
FLGD.TO,unkown,7
FLI.TO,unkown,7
FLJA.TO,unkown,7
FLOT.TO,unkown,7
FLRM.TO,unkown,7
FLSD.TO,unkown,7
FLUI.TO,unkown,7
FLUR.TO,unkown,7
FLUS.TO,unkown,7
FM.TO,Basic Materials,3
FN.TO,Financial Services,0
FNV.TO,Basic Materials,3
FOOD.TO,Consumer Cyclical,6
FORZ.TO,Energy,1
FOUR.TO,unkown,7
FPR.TO,unkown,7
FQC.TO,unkown,7
FR.TO,Basic Materials,3
FRII.TO,Consumer Cyclical,6
FRU.TO,Energy,1
FRX.TO,Healthcare,5
FSB.TO,unkown,7
FSF.TO,unkown,7
FSL.TO,unkown,7
FSR.TO,unkown,7
FST.TO,unkown,7
FSV.TO,Real Estate,9
FSY.TO,Basic Materials,3
FSZ.TO,Financial Services,0
FT.TO,Basic Materials,3
FTB.TO,unkown,7
FTG.TO,Industrials,4
FTN.TO,Financial Services,0
FTS.TO,Utilities,10
FTT.TO,Industrials,4
FTU.TO,Financial Services,0
FUD.TO,unkown,7
FURY.TO,Basic Materials,3
FVI.TO,Basic Materials,3
FVL.TO,Basic Materials,3
FXC.TO,Financial Services,0
FXM.TO,unkown,7
GATO.TO,Basic Materials,3
GAU.TO,Basic Materials,3
GBAL.TO,unkown,7
GBAR.TO,Basic Materials,3
GBT.TO,Consumer Cyclical,6
GC.TO,Consumer Cyclical,6
GCG.TO,Financial Services,0
GCL.TO,Consumer Defensive,8
GCM.TO,Basic Materials,3
GCNS.TO,unkown,7
GCT.TO,Communication Services,11
GDC.TO,Real Estate,9
GDEP.TO,unkown,7
GDI.TO,Industrials,4
GDL.TO,Basic Materials,3
GDPY.TO,unkown,7
GDV.TO,Financial Services,0
GEI.TO,Energy,1
GENM.TO,Basic Materials,3
GEO.TO,Basic Materials,3
GEQT.TO,unkown,7
GFL.TO,Industrials,4
GGA.TO,Basic Materials,3
GGD.TO,Basic Materials,3
GGRO.TO,unkown,7
GH.TO,Consumer Cyclical,6
GIL.TO,Consumer Cyclical,6
GIQG.TO,unkown,7
GIQU.TO,unkown,7
GLG.TO,Consumer Defensive,8
GLO.TO,Basic Materials,3
GLXY.TO,Financial Services,0
GMX.TO,Basic Materials,3
GOLD.TO,Basic Materials,3
GOOS.TO,Consumer Cyclical,6
GPR.TO,Basic Materials,3
GRC.TO,Basic Materials,3
GSC.TO,Basic Materials,3
GSV.TO,Basic Materials,3
GSY.TO,Financial Services,0
GTE.TO,Energy,1
GTMS.TO,Healthcare,5
GUD.TO,Healthcare,5
GURU.TO,Consumer Defensive,8
GVC.TO,Communication Services,11
GWO.TO,Financial Services,0
GWR.TO,Utilities,10
GXE.TO,Energy,1
H.TO,Utilities,10
HAB.TO,unkown,7
HAC.TO,unkown,7
HAD.TO,unkown,7
HAF.TO,unkown,7
HAI.TO,Technology,2
HAJ.TO,unkown,7
HAL.TO,unkown,7
HARB.TO,unkown,7
HARC.TO,unkown,7
HAU.TO,unkown,7
HAZ.TO,unkown,7
HBA.TO,unkown,7
HBAL.TO,unkown,7
HBB.TO,unkown,7
HBD.TO,unkown,7
HBF.TO,unkown,7
HBGD.TO,unkown,7
HBLK.TO,unkown,7
HBM.TO,Basic Materials,3
HBP.TO,Healthcare,5
HBU.TO,unkown,7
HCA.TO,unkown,7
HCAL.TO,unkown,7
HCG.TO,Financial Services,0
HCLN.TO,unkown,7
HCN.TO,unkown,7
HCON.TO,unkown,7
HCRE.TO,unkown,7
HDGE.TO,unkown,7
HDI.TO,Industrials,4
HE.TO,Energy,1
HED.TO,unkown,7
HEE.TO,unkown,7
HEF.TO,unkown,7
HEJ.TO,unkown,7
HEMB.TO,unkown,7
HEP.TO,unkown,7
HERO.TO,unkown,7
HEU.TO,unkown,7
HEWB.TO,unkown,7
HEX.TO,unkown,7
HEXO.TO,Healthcare,5
HFD.TO,unkown,7
HFG.TO,unkown,7
HFP.TO,unkown,7
HFR.TO,unkown,7
HFT.TO,unkown,7
HFU.TO,unkown,7
HGD.TO,unkown,7
HGGG.TO,unkown,7
HGR.TO,unkown,7
HGRO.TO,unkown,7
HGY.TO,unkown,7
HHF.TO,unkown,7
HHL.TO,unkown,7
HIG.TO,unkown,7
HII.TO,unkown,7
HIU.TO,unkown,7
HIX.TO,unkown,7
HLF.TO,Consumer Defensive,8
HLPR.TO,unkown,7
HLS.TO,Healthcare,5
HMJI.TO,unkown,7
HMJU.TO,unkown,7
HMMJ.TO,unkown,7
HMP.TO,unkown,7
HNY.TO,unkown,7
HOD.TO,unkown,7
HOG.TO,unkown,7
HPF.TO,unkown,7
HPR.TO,unkown,7
HQD.TO,unkown,7
HQU.TO,unkown,7
HRAA.TO,unkown,7
HRT.TO,Basic Materials,3
HRX.TO,Industrials,4
HSAV.TO,unkown,7
HSD.TO,unkown,7
HSH.TO,unkown,7
HSL.TO,unkown,7
HSM.TO,Healthcare,5
HSU.TO,unkown,7
HTA.TO,unkown,7
HTB.TO,unkown,7
HTH.TO,unkown,7
HUBL.TO,unkown,7
HUC.TO,unkown,7
HUG.TO,unkown,7
HUIB.TO,unkown,7
HUL.TO,unkown,7
HULC.TO,unkown,7
HUM.TO,unkown,7
HUN.TO,unkown,7
HURA.TO,unkown,7
HUT.TO,Financial Services,0
HUTL.TO,unkown,7
HUV.TO,unkown,7
HUZ.TO,unkown,7
HWF.TO,unkown,7
HWO.TO,Energy,1
HWX.TO,Energy,1
HXCN.TO,unkown,7
HXD.TO,unkown,7
HXDM.TO,unkown,7
HXE.TO,unkown,7
HXEM.TO,unkown,7
HXF.TO,unkown,7
HXH.TO,unkown,7
HXQ.TO,unkown,7
HXS.TO,unkown,7
HXT.TO,unkown,7
HXU.TO,unkown,7
HXX.TO,unkown,7
HYI.TO,unkown,7
HZD.TO,unkown,7
HZM.TO,Basic Materials,3
HZU.TO,unkown,7
IAG.TO,Financial Services,0
IBG.TO,Industrials,4
ICE.TO,Consumer Cyclical,6
ICPB.TO,unkown,7
IDG.TO,Consumer Cyclical,6
IDR.TO,unkown,7
IFA.TO,Consumer Cyclical,6
IFC.TO,Financial Services,0
IFP.TO,Basic Materials,3
IFRF.TO,unkown,7
IGAF.TO,unkown,7
IGB.TO,unkown,7
IGCF.TO,unkown,7
IGLB.TO,unkown,7
IGM.TO,Financial Services,0
III.TO,Basic Materials,3
ILV.TO,unkown,7
IMG.TO,Basic Materials,3
IMO.TO,Energy,1
IMP.TO,Technology,2
IMV.TO,Healthcare,5
IN.TO,Healthcare,5
INE.TO,Utilities,10
INOC.TO,unkown,7
INQ.TO,Consumer Cyclical,6
INV.TO,Basic Materials,3
IPCI.TO,Healthcare,5
IPCO.TO,Energy,1
IPL.TO,Energy,1
IPO.TO,Energy,1
IQD.TO,unkown,7
ISIF.TO,unkown,7
ISV.TO,Industrials,4
ITE.TO,Energy,1
ITH.TO,Basic Materials,3
ITP.TO,Consumer Cyclical,6
IVN.TO,Basic Materials,3
IVQ.TO,Healthcare,5
JAG.TO,Basic Materials,3
JAPN.TO,unkown,7
JE.TO,Utilities,10
JOSE.TO,Basic Materials,3
JOY.TO,Energy,1
JWEL.TO,Consumer Defensive,8
K.TO,Basic Materials,3
KBL.TO,Industrials,4
KEI.TO,Energy,1
KEL.TO,Energy,1
KEY.TO,Energy,1
KILO.TO,unkown,7
KITS.TO,Consumer Cyclical,6
KL.TO,Basic Materials,3
KLS.TO,Industrials,4
KNT.TO,Basic Materials,3
KOR.TO,Basic Materials,3
KPT.TO,Consumer Defensive,8
KRN.TO,Basic Materials,3
KRR.TO,Basic Materials,3
KXS.TO,Technology,2
L.TO,Consumer Defensive,8
LABS.TO,Healthcare,5
LAC.TO,Basic Materials,3
LAM.TO,Basic Materials,3
LB.TO,Financial Services,0
LBS.TO,Financial Services,0
LCS.TO,Financial Services,0
LEAD.TO,unkown,7
LFE.TO,Financial Services,0
LGD.TO,Basic Materials,3
LGO.TO,Basic Materials,3
LIF.TO,Basic Materials,3
LIFE.TO,unkown,7
LN.TO,Basic Materials,3
LNF.TO,Consumer Cyclical,6
LNR.TO,Consumer Cyclical,6
LONG.TO,unkown,7
LS.TO,unkown,7
LSPD.TO,Technology,2
LUC.TO,Basic Materials,3
LUG.TO,Basic Materials,3
LUN.TO,Basic Materials,3
LXR.TO,Consumer Cyclical,6
MAG.TO,Basic Materials,3
MAL.TO,Industrials,4
MARI.TO,Basic Materials,3
MAV.TO,Consumer Defensive,8
MAW.TO,Basic Materials,3
MAX.TO,Basic Materials,3
MAXR.TO,Technology,2
MBA.TO,Consumer Defensive,8
MBAL.TO,unkown,7
MBCN.TO,Healthcare,5
MBN.TO,Financial Services,0
MBX.TO,Healthcare,5
MCB.TO,Energy,1
MCLC.TO,unkown,7
MCON.TO,unkown,7
MCSB.TO,unkown,7
MCSM.TO,unkown,7
MDI.TO,Basic Materials,3
MDNA.TO,Healthcare,5
MDVD.TO,unkown,7
ME.TO,Basic Materials,3
MEE.TO,unkown,7
MEG.TO,Energy,1
MEQ.TO,Real Estate,9
MEU.TO,unkown,7
MFC.TO,Financial Services,0
MFI.TO,Consumer Defensive,8
MFT.TO,unkown,7
MG.TO,Consumer Cyclical,6
MGA.TO,Energy,1
MGAB.TO,unkown,7
MGB.TO,unkown,7
MGRW.TO,unkown,7
MIC.TO,Financial Services,0
MIN.TO,Basic Materials,3
MIND.TO,unkown,7
MINT.TO,unkown,7
MIVG.TO,unkown,7
MKB.TO,unkown,7
MKC.TO,unkown,7
MKP.TO,Financial Services,0
MMX.TO,Basic Materials,3
MND.TO,Basic Materials,3
MOGO.TO,Technology,2
MOZ.TO,Basic Materials,3
MPC.TO,Real Estate,9
MPCF.TO,unkown,7
MPVD.TO,Basic Materials,3
MRC.TO,Real Estate,9
MRD.TO,Real Estate,9
MRE.TO,Consumer Cyclical,6
MRU.TO,Consumer Defensive,8
MRV.TO,Healthcare,5
MSI.TO,Industrials,4
MSV.TO,Basic Materials,3
MTL.TO,Industrials,4
MTY.TO,Consumer Cyclical,6
MUB.TO,unkown,7
MULC.TO,unkown,7
MUMC.TO,unkown,7
MUS.TO,unkown,7
MUSC.TO,unkown,7
MUX.TO,Basic Materials,3
MWD.TO,unkown,7
MX.TO,Basic Materials,3
MXG.TO,Utilities,10
MXU.TO,unkown,7
NA.TO,Financial Services,0
NALT.TO,unkown,7
NB.TO,Basic Materials,3
NCF.TO,Basic Materials,3
NCM.TO,Basic Materials,3
NCP.TO,Basic Materials,3
NCU.TO,Basic Materials,3
NDIV.TO,unkown,7
NDM.TO,Basic Materials,3
NEO.TO,Basic Materials,3
NEPT.TO,Healthcare,5
NEXA.TO,Basic Materials,3
NEXT.TO,Basic Materials,3
NFAM.TO,unkown,7
NFI.TO,Consumer Cyclical,6
NG.TO,Basic Materials,3
NGD.TO,Basic Materials,3
NGPE.TO,unkown,7
NGT.TO,Basic Materials,3
NHK.TO,Basic Materials,3
NHYB.TO,unkown,7
NOA.TO,Energy,1
NPI.TO,Utilities,10
NPK.TO,Basic Materials,3
NPRF.TO,unkown,7
NREA.TO,unkown,7
NSCB.TO,unkown,7
NSCE.TO,unkown,7
NSGE.TO,unkown,7
NSR.TO,Basic Materials,3
NTR.TO,Basic Materials,3
NUAG.TO,Basic Materials,3
NUBF.TO,unkown,7
NVA.TO,Energy,1
NVCN.TO,Healthcare,5
NVEI.TO,Technology,2
NVO.TO,Basic Materials,3
NWC.TO,Consumer Defensive,8
NXE.TO,Energy,1
NXF.TO,unkown,7
NZC.TO,Basic Materials,3
OBE.TO,Energy,1
OGC.TO,Basic Materials,3
OGD.TO,Basic Materials,3
OGI.TO,Healthcare,5
OLA.TO,Basic Materials,3
OLY.TO,Financial Services,0
OMI.TO,Basic Materials,3
ONC.TO,Healthcare,5
ONEB.TO,unkown,7
ONEC.TO,unkown,7
ONEQ.TO,unkown,7
ONEX.TO,Financial Services,0
OPS.TO,Healthcare,5
OPT.TO,Technology,2
OR.TO,Basic Materials,3
ORA.TO,Basic Materials,3
OREA.TO,Basic Materials,3
ORL.TO,Basic Materials,3
ORV.TO,Basic Materials,3
OSB.TO,unkown,7
OSK.TO,Basic Materials,3
OSP.TO,Financial Services,0
OTEX.TO,Technology,2
OVV.TO,Energy,1
PAAS.TO,Basic Materials,3
PAT.TO,Technology,2
PATH.TO,Technology,2
PAYF.TO,unkown,7
PBD.TO,unkown,7
PBH.TO,Consumer Defensive,8
PBI.TO,unkown,7
PBL.TO,Consumer Cyclical,6
PCON.TO,unkown,7
PCOR.TO,unkown,7
PD.TO,Energy,1
PDC.TO,unkown,7
PDF.TO,unkown,7
PDIV.TO,unkown,7
PDV.TO,Financial Services,0
PEA.TO,Energy,1
PEY.TO,Energy,1
PFAE.TO,unkown,7
PFB.TO,Industrials,4
PFIA.TO,unkown,7
PFL.TO,unkown,7
PFLS.TO,unkown,7
PFMN.TO,unkown,7
PFMS.TO,unkown,7
PG.TO,Basic Materials,3
PHO.TO,Technology,2
PHR.TO,unkown,7
PHW.TO,unkown,7
PHX.TO,Energy,1
PHYS.TO,unkown,7
PID.TO,unkown,7
PIF.TO,Utilities,10
PIN.TO,unkown,7
PINC.TO,unkown,7
PINV.TO,unkown,7
PIPE.TO,Energy,1
PKI.TO,Energy,1
PL.TO,Basic Materials,3
